ThinkTankId,ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyType,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,,21/12/1995,00290939,Lillywhites Limited,Ltd,04/08/1934,,47789,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
EU-1682,Right,Centre for Policy Studies,01/01/1974,Gtrfr4Nt7lpvDnAkPQfvoChSzW0,John Gordon Cluff,Director,,28/04/1994,00236725,"Henry Sotheran,Limited",Ltd,28/01/1929,,47791,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of antiques including antique books in stores
EU-1682,Right,Centre for Policy Studies,01/01/1974,iJMLJPAFMlJoB6cf60oT4ovLTIs,Jonathan Gestetner,Director,27/08/2021,28/09/2022,13589008,Marlborough & Pickering Limited,Ltd,27/08/2021,,47791,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of antiques including antique books in stores
EU-1682,Right,Centre for Policy Studies,01/01/1974,iJMLJPAFMlJoB6cf60oT4ovLTIs,Jonathan Gestetner,Director,,,00479837,Marlborough Rare Books Limited,Ltd,21/03/1950,,47799,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other second-hand goods in stores (not incl. antiques)
EU-1682,Right,Centre for Policy Studies,01/01/1974,iJMLJPAFMlJoB6cf60oT4ovLTIs,Jonathan Gestetner,Director,21/10/2005,,05599311,St Clement's Court Books Ltd,Ltd,21/10/2005,,47799,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other second-hand goods in stores (not incl. antiques)
EU-1414,Left,Demos,01/01/1993,4EfkZiRj7quFVVbXp3rPkppAyE0,Simon Charles Bowden Cooper,Director,30/04/2001,,03296361,Cracking Enterprises Limited,Ltd,24/12/1996,,47820,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale via stalls and markets of textiles, clothing and footwear"
EU-1256,Left,Compass,01/01/2003,gxVlH9CrUI3nOfIWMxuKa-SmO44,Shelagh Ann Wright,Director,22/11/2021,,13756510,Oddly Works Community Interest Company,PrivateLimitedGuarantNsc,22/11/2021,,47890,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets of other goods
EU-1488,Left,Institute for Public Policy Research,01/01/1986,0NPAzZeYsiepcJhMLm3jsfADudc,Barbara Baroness Young of Old Scone,Director,22/04/1992,23/05/1998,02693778,Rspb Sales Limited,Ltd,04/03/1992,,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1488,Left,Institute for Public Policy Research,01/01/1986,L6Ov-K4gw19EcZWOQco20lp9PtY,Chaitanya Bhupendra Patel,Director,14/09/2016,,06308549,Red Rickshaw Limited,Ltd,10/07/2007,,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1488,Left,Institute for Public Policy Research,01/01/1986,7Ahp-QM3CJ_nPi3uWRcOSr52H9o,Lord Robert Gavron of Highgate,Director,03/03/1995,31/10/2001,02280277,National Gallery Global Limited,Ltd,26/07/1988,,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1488,Left,Institute for Public Policy Research,01/01/1986,mX-D4eeAGqOxCdDx3CVqhn2XoVw,Lord Waheed Alli,Director,13/06/2017,23/05/2022,10815513,Kid Fashion Limited,Ltd,13/06/2017,12/09/2023,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1414,Left,Demos,01/01/1993,4EfkZiRj7quFVVbXp3rPkppAyE0,Simon Charles Bowden Cooper,Director,30/04/2001,,03296361,Cracking Enterprises Limited,Ltd,24/12/1996,,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1875,Right,Legatum Institute,05/11/2010,-WROeUgQbc8qVM5hODljCS8Bqhk,Warren Harold Lancaster,Director,19/01/2006,17/11/2006,03045864,Tlm Trading Limited,Ltd,13/04/1995,,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet
EU-1682,Right,Centre for Policy Studies,01/01/1974,296Yt1zhuoRIaU-ZifngSkupppQ,Graham Henry Edwards,Director,23/09/2021,,SC448118,Castle Water (Scotland) Limited,Ltd,22/04/2013,,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets"
EU-1842,Right,The Centre for Social Justice,01/01/2004,UQ-V_nGtFPeGzR5eUCvD9xjGhNk,John Martineau Kinder,Director,06/04/2010,,07200003,Impulse Vendors Limited,Ltd,23/03/2010,15/06/2018,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets"
EU-1488,Left,Institute for Public Policy Research,01/01/1986,xQ4GeKhfohs-kHItvhWwVY6uFBs,Sir Christopher John Powell,Director,17/04/2009,,06659181,Parcelpoke Limited,Ltd,29/07/2008,12/03/2023,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets"
EU-1682,Right,Centre for Policy Studies,01/01/1974,ebQtjpsI0zDVmTUr3qboQyfz4F8,the Rt Hon Lord Michael Bruce Forsyth,Director,26/07/2012,24/07/2019,05944428,Safor Limited,Ltd,22/09/2006,05/11/2019,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets"
EU-1488,Left,Institute for Public Policy Research,01/01/1986,avHkxkLiMfhOSpOIOM8hjkh7QLU,Lord Andrew Adonis,Director,01/07/2015,21/04/2017,06791686,High Speed Two (Hs2) Limited,PrivateLimitedGuarantNsc,14/01/2009,,49100,Transportation and storage,"Passenger rail transport, interurban"
EU-1488,Left,Institute for Public Policy Research,01/01/1986,InQx18rj47qwjEL1zDke8td_lPo,John Alexander Armitt,Director,01/01/2013,31/12/2022,02590560,Mobico Group Plc,Plc,11/03/1991,,49319,Transportation and storage,"Other urban, suburban or metropolitan passenger land transport (not underground, metro or similar)"
EU-1842,Right,The Centre for Social Justice,01/01/2004,UQ-V_nGtFPeGzR5eUCvD9xjGhNk,John Martineau Kinder,Director,,29/10/1993,01770285,Drylog Trading Limited,Ltd,16/11/1983,,50200,Transportation and storage,Sea and coastal freight water transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,DNmsTNtyIvRpyURybEkOEs1JzYo,Christopher Charles Stone,Director,06/06/2005,30/06/2006,05327251,Truckprotect Limited,Ltd,07/01/2005,28/11/2013,5030,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,DNmsTNtyIvRpyURybEkOEs1JzYo,Christopher Charles Stone,Secretary,06/06/2005,30/06/2006,05327251,Truckprotect Limited,Ltd,07/01/2005,28/11/2013,5030,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,01/09/2001,31/08/2005,04129273,Nats (En Route) Public Limited Company,Plc,21/12/2000,,51101,Transportation and storage,Scheduled passenger air transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,01/09/2001,31/08/2005,03155567,Nats Limited,Ltd,31/01/1996,,51101,Transportation and storage,Scheduled passenger air transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,01/09/2001,31/08/2005,04138218,Nats Holdings Limited,Ltd,10/01/2001,,51101,Transportation and storage,Scheduled passenger air transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,E3htNNJkXUengcgKvbV8AedQOJU,Dr Christopher Shaw Gibson Smith,Director,01/09/2001,31/08/2005,04129270,Nats (Services) Limited,Ltd,21/12/2000,,51101,Transportation and storage,Scheduled passenger air transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,2Y6_yIk8NVHxDcqiUwyIrmju-Js,Lord Clive Brooke,Director,26/07/2001,25/07/2006,04152329,Nats Employee Sharetrust Limited,Ltd,01/02/2001,,51101,Transportation and storage,Scheduled passenger air transport
EU-1488,Left,Institute for Public Policy Research,01/01/1986,2Y6_yIk8NVHxDcqiUwyIrmju-Js,Lord Clive Brooke,Director,26/07/2001,25/07/2006,04138218,Nats Holdings Limited,Ltd,10/01/2001,,51101,Transportation and storage,Scheduled passenger air transport
EU-1414,Left,Demos,01/01/1993,CmrTOYkQFkytNMePMdUq4QJKbr4,Lord Shutt of Greetland David Trevor Shutt of Greetland,Director,19/05/1999,17/05/2000,02065958,Leeds Bradford Airport Limited,Ltd,21/10/1986,,51101,Transportation and storage,Scheduled passenger air transport
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,30/09/1993,,02859636,Ipgl No.7 Ltd,Ltd,30/09/1993,,51102,Transportation and storage,Non-scheduled passenger air transport
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,20/12/2006,,00450633,A.W. Levings Limited,Ltd,09/03/1948,10/04/2018,5132,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,mPXsGw3H9FenMgoV1RQTvYzMX08,Lord Karan Faridoon Bilimoria,Director,,,02355925,Cobra Beer Limited,Ltd,06/03/1989,22/02/2011,5136,Unknown,Unknown
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,05/03/2007,26/08/2008,03624754,C & G Neve Fish Agency Ltd,Ltd,01/09/1998,26/07/2011,5138,Unknown,Unknown
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,31/07/2009,30/11/2010,00516501,H.& S.Openshaw Limited,Ltd,27/02/1953,02/08/2011,5138,Unknown,Unknown
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/09/2001,30/12/2001,00161545,Bp Chemicals (Ireland) Limited,Ltd,11/12/1919,21/02/2012,5151,Unknown,Unknown
EU-1414,Left,Demos,01/01/1993,-8S1faeTmEkewg20ZX-dIo476ck,Andrew Stewart Mackenzie,Director,01/04/2004,31/07/2004,00161545,Bp Chemicals (Ireland) Limited,Ltd,11/12/1919,21/02/2012,5151,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,DNmsTNtyIvRpyURybEkOEs1JzYo,Christopher Charles Stone,Director,06/06/2005,30/06/2006,05327251,Truckprotect Limited,Ltd,07/01/2005,28/11/2013,5188,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,DNmsTNtyIvRpyURybEkOEs1JzYo,Christopher Charles Stone,Secretary,06/06/2005,30/06/2006,05327251,Truckprotect Limited,Ltd,07/01/2005,28/11/2013,5188,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,mPXsGw3H9FenMgoV1RQTvYzMX08,Lord Karan Faridoon Bilimoria,Director,,,02355925,Cobra Beer Limited,Ltd,06/03/1989,22/02/2011,5190,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,lUmFaKI_-7qodDFxQAewWCNjc98,David Robert Meller,Director,,06/06/2007,02516107,Rhenus Warehousing Solutions Lutterworth Limited,Ltd,27/06/1990,,52103,Transportation and storage,Operation of warehousing and storage facilities for land transport activities
EU-1217,Right,Policy Exchange,01/01/2002,lUmFaKI_-7qodDFxQAewWCNjc98,David Robert Meller,Director,19/12/1997,06/06/2007,03454878,Rhenus Warehousing Solutions Holdings Limited,Ltd,24/10/1997,,52103,Transportation and storage,Operation of warehousing and storage facilities for land transport activities
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,20/12/2006,,00450633,A.W. Levings Limited,Ltd,09/03/1948,10/04/2018,5223,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,02/04/1991,01/04/2009,02587209,Voltapalm Limited,Ltd,01/03/1991,30/06/2011,5227,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Secretary,20/02/1995,01/04/2009,02587209,Voltapalm Limited,Ltd,01/03/1991,30/06/2011,5227,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,07/07/1997,15/02/2001,03399418,Bookajet Aviation Services Limited,Ltd,01/07/1997,,52290,Transportation and storage,Other transportation support activities
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,01/05/2007,24/02/2014,06173794,Intercapital No. 1 Limited,Ltd,20/03/2007,21/02/2023,52290,Transportation and storage,Other transportation support activities
EU-1496,Right,Institute of Economic Affairs,01/01/1955,M1KWt6ooTUeGD0jsrEROlbUpmvg,Professor David Roderic Myddelton,Director,11/10/2006,,05806781,No Frills (Reigate) Limited,Ltd,05/05/2006,17/04/2013,5242,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,lUmFaKI_-7qodDFxQAewWCNjc98,David Robert Meller,Director,24/11/1992,11/12/1998,02756463,Faith Group Limited,Ltd,16/10/1992,19/01/2012,5243,Unknown,Unknown
EU-1488,Left,Institute for Public Policy Research,01/01/1986,eCh2Uz-IsqEE22Gi_ojbEN4APgQ,Lord John Leonard Eatwell,Director,09/02/1993,31/03/1998,02293506,Crusaid (Enterprises) Limited,Ltd,06/09/1988,12/06/2012,5248,Unknown,Unknown
EU-1682,Right,Centre for Policy Studies,01/01/1974,iOQy-5akimHZqA-hB6hVzFmI-u8,John Alfred Stoddard Nash,Director,30/10/2002,20/09/2013,03929827,Signature Hotel Group Limited,Ltd,21/02/2000,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1842,Right,The Centre for Social Justice,01/01/2004,UQ-V_nGtFPeGzR5eUCvD9xjGhNk,John Martineau Kinder,Director,08/06/2004,16/12/2020,04710303,Fox Fabs Limited,Ltd,25/03/2003,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1414,Left,Demos,01/01/1993,CmrTOYkQFkytNMePMdUq4QJKbr4,Lord Shutt of Greetland David Trevor Shutt of Greetland,Secretary,,30/10/2020,00165093,Cober Hill Limited,Ltd,10/03/1920,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1414,Left,Demos,01/01/1993,CmrTOYkQFkytNMePMdUq4QJKbr4,Lord Shutt of Greetland David Trevor Shutt of Greetland,Director,,30/10/2020,00165093,Cober Hill Limited,Ltd,10/03/1920,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1875,Right,Legatum Institute,05/11/2010,WJ27bCqJ3PEWSBiHZ8tULwqf7No,Richard Henry Briance,Director,26/04/2010,28/09/2011,SC158880,Carolia Hospitality Uk Limited,Ltd,27/06/1995,27/12/2019,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1496,Right,Institute of Economic Affairs,01/01/1955,U9aCrlLNVh2PC4276ocbdM1sSiw,Sir Michael John De Rougement Richardson,Director,,31/12/1995,00029022,Claridge's Hotel Limited,Ltd,28/05/1889,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,,20/05/1996,00029022,Claridge's Hotel Limited,Ltd,28/05/1889,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,,01/05/1996,00769170,Travelodge Hotels Limited,Ltd,29/07/1963,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,08/08/1996,,03225754,Rf Corporate Uk Ltd,Ltd,16/07/1996,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,31/01/1997,,03277921,Rocco Forte Hotels Limited,Ltd,14/11/1996,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,31/01/1997,,03298971,Rocco Forte & Family (Russia) Limited,Ltd,06/01/1997,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/04/1997,05/04/2007,03299012,The St David's Hotel Cardiff Limited,Ltd,06/01/1997,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,06/08/1997,,03391144,Rocco Forte & Family (Italy) Limited,Ltd,24/06/1997,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,03/02/1999,,03710232,Rocco Forte & Family (Germany) Limited,Ltd,03/02/1999,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,05/10/1999,02/05/2002,03807696,The Lowry Hotel Limited,Ltd,15/07/1999,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,14/12/1999,03/07/2003,03893836,Rocco Forte & Family (Belgium) Limited,Ltd,14/12/1999,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,15/01/2002,,04045930,Rocco Forte & Family (Hotel Management) Limited,Ltd,02/08/2000,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Secretary,28/04/2004,31/05/2005,04045930,Rocco Forte & Family (Hotel Management) Limited,Ltd,02/08/2000,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Secretary,28/04/2004,30/06/2004,03277921,Rocco Forte Hotels Limited,Ltd,14/11/1996,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/11/2008,,03893836,Rocco Forte & Family (Belgium) Limited,Ltd,14/12/1999,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/11/2008,,05521655,Czech Holdings Limited,Ltd,28/07/2005,27/10/2015,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/11/2008,,05133159,Rfff Limited,Ltd,19/05/2004,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/11/2008,,04713134,Rocco Forte & Family (London) Limited,Ltd,26/03/2003,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,17/11/2008,03/09/2014,03807696,The Lowry Hotel Limited,Ltd,15/07/1999,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,29/01/2010,,05893288,Samovar Hospitality Limited,Ltd,01/08/2006,27/10/2015,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,03/04/2013,,08472373,The Balmoral Hotel Edinburgh Limited,Ltd,03/04/2013,,55100,Accommodation and food service activities,Hotels and similar accommodation
EU-1488,Left,Institute for Public Policy Research,01/01/1986,L6Ov-K4gw19EcZWOQco20lp9PtY,Chaitanya Bhupendra Patel,Director,30/04/2008,29/07/2010,05446631,Smash Foods Ltd.,Ltd,09/05/2005,04/07/2012,5530,Unknown,Unknown
EU-1162,Right,Reform,04/03/2004,F1GN-HT5swbE1VJGxgmGRwP0Rfw,Stephen Thomas Hargrave,Director,15/01/1997,02/05/2002,03088588,Massive Limited,Ltd,08/08/1995,01/11/2011,5530,Unknown,Unknown
EU-1162,Right,Reform,04/03/2004,F1GN-HT5swbE1VJGxgmGRwP0Rfw,Stephen Thomas Hargrave,Director,15/01/1997,02/05/2002,03088588,Massive Limited,Ltd,08/08/1995,01/11/2011,5540,Unknown,Unknown
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,18/11/2009,29/01/2010,06462332,The Ferry Station Limited,Ltd,02/01/2008,01/11/2012,5552,Unknown,Unknown
EU-1217,Right,Policy Exchange,01/01/2002,jlMd-Od-tqnSXybeE4hDM3XDqlY,Andrew Roberts,Director,15/12/1995,16/02/1999,02461719,No. 4 Beauchamp Road (East Molesey) Management Company Limited,PrivateLimitedGuarantNsc,22/01/1990,,55900,Accommodation and food service activities,Other accommodation
EU-1414,Left,Demos,01/01/1993,5qu7qHjfaMv517TpQKXLVCMLrY8,David Michael Clarke,Director,03/02/2010,25/07/2013,00574816,Abbeyfield Society (the),PrivateLimitedGuarantNsc,27/11/1956,,55900,Accommodation and food service activities,Other accommodation
EU-1842,Right,The Centre for Social Justice,01/01/2004,GDVfAw6VAzUhcJJ5_cslHOnFebE,Lord David Lindsay Willetts,Director,,20/07/1994,02160268,Retirement Security (Milton Keynes) Limited,Ltd,02/09/1987,,55900,Accommodation and food service activities,Other accommodation
EU-1488,Left,Institute for Public Policy Research,01/01/1986,eCh2Uz-IsqEE22Gi_ojbEN4APgQ,Lord John Leonard Eatwell,Director,09/01/1997,29/06/2022,02913373,Q C Enterprises Limited,Ltd,28/03/1994,,55900,Accommodation and food service activities,Other accommodation
EU-1162,Right,Reform,04/03/2004,iXyBVr0bqfpVdBZwBjZttpfvkAs,Oliver John Woodforde Pawle,Director,29/10/1996,18/10/2011,00246919,Goodenough College,PrivateLimitedGuarantNsc,28/03/1930,,55900,Accommodation and food service activities,Other accommodation
EU-1875,Right,Legatum Institute,05/11/2010,aHJ4-Ms585Rbkx50ELsfDsFoik8,Richard William James Parry,Director,11/06/2008,18/06/2015,02664010,Downe House School Services Limited,Ltd,19/11/1991,,55900,Accommodation and food service activities,Other accommodation
EU-1682,Right,Centre for Policy Studies,01/01/1974,OPo17EA1bAK1t8ahTsqX18KL670,Andrew Stephen Bower Knight,Director,03/09/2003,,04828017,Taste of the Country Limited,Ltd,10/07/2003,,56101,Accommodation and food service activities,Licenced restaurants
EU-1488,Left,Institute for Public Policy Research,01/01/1986,zaz_W0A5Sm66BnMzKl9G869r66U,Charles Jeremy Mawdesley Hardie,Director,26/11/1999,01/01/2001,SC181811,Premium Dining Restaurants and Pubs Limited,Ltd,30/12/1997,,56101,Accommodation and food service activities,Licenced restaurants
EU-1488,Left,Institute for Public Policy Research,01/01/1986,zaz_W0A5Sm66BnMzKl9G869r66U,Charles Jeremy Mawdesley Hardie,Director,23/12/1999,07/12/2005,SC202775,Lfr Group Limited,Ltd,23/12/1999,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,29/05/2003,,04780414,Tobacco Factory Enterprises Limited,Ltd,29/05/2003,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,15/12/2008,01/06/2015,06772611,Canteen West Ltd,Ltd,15/12/2008,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,22/04/2010,01/06/2015,07231693,The Harbourside (Bristol) Ltd,Ltd,22/04/2010,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,14/07/2015,14/07/2015,09684548,The Old Market Assembly Ltd,Ltd,14/07/2015,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,01/03/2017,02/06/2020,10644892,Gosha's House Ltd,Ltd,01/03/2017,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,27/02/2019,25/04/2022,07231693,The Harbourside (Bristol) Ltd,Ltd,22/04/2010,,56101,Accommodation and food service activities,Licenced restaurants
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,28/02/2019,25/04/2022,06772611,Canteen West Ltd,Ltd,15/12/2008,,56101,Accommodation and food service activities,Licenced restaurants
EU-1488,Left,Institute for Public Policy Research,01/01/1986,7Ahp-QM3CJ_nPi3uWRcOSr52H9o,Lord Robert Gavron of Highgate,Director,03/03/1995,31/10/2001,02280277,National Gallery Global Limited,Ltd,26/07/1988,,56101,Accommodation and food service activities,Licenced restaurants
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,15/11/1995,25/06/2007,03011796,Moving Image Restaurants Limited,Ltd,19/01/1995,,56101,Accommodation and food service activities,Licenced restaurants
